"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;;;;;;;;;;;;
"1620750256328835072,""2023-02-01T11:45:47.000Z"",""0"",""mending capek kerja daripada capek nyari kerja, TP KAN DUA""""""""NYA TETEP AJA CAPEEEG JANCOEG"",""1620750256328835072"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/mujigaebox/status/1620750256328835072"",""1229046271052152835"",""mujigaebox""";;;;;;;;;;;;;
"1620749117696929793,""2023-02-01T11:41:16.000Z"",""0"",""capek kerja capek juga dikejar harapan orangtua mau gabung sannoh rengo aja hidup bebas 😞"",""1620749117696929793"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/crimsoncerise/status/1620749117696929793"",""1563816564398641154"",""crimsoncerise""";;;;;;;;;;;;;
"1620728983804579840,""2023-02-01T10:21:16.000Z"",""0"",""Klo capek kerja jangan pulang, efek sampingnya sekitarnya yang kena ..true"",""1620728983804579840"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/faidhulqudsiy/status/1620728983804579840"",""117955410"",""faidhulqudsiy""";;;;;;;;;;;;;
"1620411524304207876,""2023-02-01T10:04:01.000Z"",""0"",""@nadisamhrn @yaelahcan pas udah kerja """"""""yaallah capek kerja pengen nikah aja""""""""🤐"",""1620724644746780674"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/AkaraJingga_/status/1620724644746780674"",""418624464"",""AkaraJingga_""";;;;;;;;;;;;;
"1620703012376424448,""2023-02-01T09:11:44.000Z"",""2"",""@convomfs Gw tim pilih sendiri sih nder. Soalnya kalau dipilihin itu gw yang kebanyakan apes rata rata gw dapet yang tau jadi mulu gw capek kerja eh mereka malah dapet nilai cuma dengan ngang ngeng ngong klw pilih sendiri gw jadi bisa bagi bagi tugas dnegan secara merata jadi gw ngga-"",""1620711487026364416"","""",""convomfs"",""in"","""",""0"",""1"",""0"",""https://x.com/citysaturyay/status/1620711487026364416"",""1053774475899035648"",""citysaturyay""";;;;;;;;;;;;;
"1620711282986065921,""2023-02-01T09:10:55.000Z"",""0"",""Mau ngeluh hidup capek. "; Tapi mikir kebelakang;" Orang tua lebih capek kerja sampai sekarang juga .. "","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;
"Astaghfirullah"",""1620711282986065921"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/indahsucir99/status/1620711282986065921"",""1252110439648903168"",""indahsucir99"","""","""",""""";;;;;;;;;;;;;
"1620707888732995591,""2023-02-01T09:03:41.000Z"",""0"",""buat para cowo2 tadi semoga dapat rezeki, dilancarin pekerjaannya, semangat brow, karna ya lebih baik capek kerja dapet hasil sendiri walaupun jd marketer  daripada kerja karna minta2 jd pengemis"",""1620709460862963712"","""",""lululatifah_"",""in"","""",""0"",""0"",""0"",""https://x.com/lululatifah_/status/1620709460862963712"",""184343593"",""lululatifah_""";;;;;;;;;;;;;
"1620676739608485888,""2023-02-01T08:50:17.000Z"",""0"",""@zia_fay @worksfess Gaji dikit tapi muridnya nggak terlalu gila mah oke. Lha ini gaji dikit murid gila astaghfirullah 😭🙏🏻 mau resign tapi belum ada pekerjaan lain 😭"",""1620706090211233792"","""",""zia_fay"",""in"","""",""0"",""1"",""0"",""https://x.com/peacheswty/status/1620706090211233792"",""813373241133699072"",""peacheswty""";;;;;;;;;;;;;
"1620564118737661952,""2023-01-31T23:26:34.000Z"",""0"",""Mungkin karena emang sakit + capek kerja kali ya"",""1620564223964368896"","""",""tiranisaurus"",""in"","""",""0"",""1"",""0"",""https://x.com/tiranisaurus/status/1620564223964368896"",""129728412"",""tiranisaurus""";;;;;;;;;;;;;
